,tweets,label,agreement
0,amp big homie meanboy stegman st,0.0,1.0
1,im thinking devoting career proving autism isnt caused vaccine due idiotic post ive seen world autism day,1.0,1.0
2,vaccine vaccinate child,-1.0,1.0
3,mean immunize kid something wont secretly kill year line im dont trust,-1.0,1.0
4,thanks catch performing la nuit nyc st ave show start,0.0,1.0
5,nearly year old study mental health study vaccine relatively infancy refuted,1.0,0.6666666666666666
6,study kid find link mmr vaccine autism,1.0,0.6666666666666666
7,psa vaccinate fucking kid,1.0,1.0
8,coughing extra shuttle everyone think measles,1.0,0.6666666666666666
9,aid vaccine created oregon health amp science university may clear virus body,1.0,0.6666666666666666
10,point text butwbon jovi cover playin alibi hope u come mmr bbquser b,0.0,1.0
11,prediction vaccine exemption arizona end soon much money lost big pharma,0.0,0.6666666666666666
12,getting vaccine cheryl southern nevada health district,1.0,1.0
13,mug noche mad hatter,0.0,1.0
14,got influenza vaccine purdue university student health push,1.0,0.6666666666666666
15,sb enroll meningococcal diseasepupils immunized recommended age,0.0,0.6666666666666666
16,increasing number parent skip vaccination childrencolumbia missourian,0.0,1.0
17,thank standing ca parent child support,1.0,1.0
18,dude idc disney land measles mean shorter line ride im driving rn,0.0,1.0
19,beeftalk start calf vaccination via good article herd health,1.0,1.0
20,dont care say probably get kid vaccinated,1.0,1.0
21,small study show pt lupus shingle vaccine safe need confirmed larger study,1.0,0.6666666666666666
22,cdc measles epidemic pose travel risk usatlyixdtv yes true zombie epidemic closing u,0.0,1.0
23,every time see vaccinate debate wonder one side argument even child,1.0,1.0
24,lied hid data black boy uncreased risk developing autism mmr help,-1.0,1.0
25,vaccine causing autism,-1.0,1.0
26,rarely see argument vaccination actually big deal,0.0,0.6666666666666666
27,im obsessed w ebola following outbreak world deadliest disease vaccine cure amp death rate,1.0,0.6666666666666666
28,joshthenewt suck game haha well people say dont mmr eh,0.0,1.0
29,dont shake hand pocahontas thats probably measles,0.0,0.6666666666666666
30,yes im part public health like im part nature feed abandoned baby bird vaccinate privileged kid,1.0,1.0
31,new study show vaccine associated autism news sky blue,1.0,1.0
32,repetitive could le shocked increase asd even genetically high risk,1.0,1.0
33,glad got vaccinated health alert case meningitis reported monmouth university,1.0,1.0
34,look like got measles,0.0,0.6666666666666666
35,defense vaccine harmful american life unhealthy,-1.0,0.3333333333333333
36,like hello ranked reset probably bad placement mmr went went lol,0.0,1.0
37,amid measles outbreak vaccine teacher arent required much attention ongoing measles,0.0,0.6666666666666666
38,measles threat,0.0,0.6666666666666666
39,improve mood energy immunity cardio health kit profit thru,0.0,1.0
40,mt new bill would end exemption personal religious via,0.0,1.0
41,autism immunization vaccinate,0.0,0.6666666666666666
42,bart rider warned measles infection contagious passenger oakland cbs sf bay area rapid transit,0.0,1.0
43,u case hit year high far year case measles reported unit,0.0,0.6666666666666666
44,pull myxx nightlife stint performing live hosted,0.0,1.0
45,cdc eyeing bird flu vaccine human though risk low federal official said wednesday theyre taking step,0.0,0.6666666666666666
46,involved fight preventable disease tenure track opening,1.0,0.6666666666666666
47,im vaccinating kid lol,-1.0,1.0
48,alleged victim reviewing immunity paperwork resume testimony wo fear blackmail prosecution,0.0,1.0
49,thanksuser crystal clear lack evidence linking mmr autism noticed,1.0,0.6666666666666666
50,giving dvd vaccinating child bad,0.0,0.6666666666666666
51,hey nowuser mixmasterrods upstairs lounge,0.0,1.0
52,seriously dont want child antivaccination movement ended terrifying,1.0,1.0
53,epidemic enterovirus mumps measles drug resistant tb next,0.0,1.0
54,said wasnt gone shit lol looked like proved wrong baby,0.0,1.0
55,flu shot school boost vaccination rate offering flu shot elementary school could reduce number,0.0,0.6666666666666666
56,marin county school board side young leukemia patient vaccination,0.0,0.6666666666666666
57,still running nigga til death dibiasimb,0.0,1.0
58,yeah ill stick regular vaccine oh wait give autism,-1.0,0.6666666666666666
59,antivaccine people want control people fear weaken herd immunityso anyone know mind control,1.0,1.0
60,important measles update say working w,1.0,1.0
61,dont think ever understand people reason getting vaccinated vaccinating kid explain,1.0,0.6666666666666666
62,cia vaccination campaign spy ops via harm protected medic status ruse linger,-1.0,0.6666666666666666
